Site Code,Site Name,"IDWF, l/s","Maximum Infiltration Rate      (Imax, l/s)",Note,Site Name,Previous max infiltration rate where known,"Maximum Infiltration Rate (Imax, l/s)",Annual Return Population Equivalent (2020) (Unrounded),Previous Trade Effluent where known,Trade Effluent (l/day) (2020),Water Resource Zone,TW Est. of per capita domestic flow in this area (l/hd/day)
WHITS5ZZ,Whittington,0.0, no data ,"Based on solar year 2018, unverified",Whittington,0.00,0.01, 82 ,, -   ,SWOX (2020), 139.9 
WHITS6ZZ,Whitwell,0.0, 2.5 ,Reviewed 2022,Whitwell,,0.19," 1,030 ",, -   , Z3 Lee (Affinity 2020) , 145.0 
WICKS1ZZ,Wickham,0.0, no data ,"Based on solar year 2017, unverified",Wickham,,0.04, 222 ,, -   , Kennet Valley (2020) , 138.3 
WIDFS1ZZ,Widford and Wareside,0.3, 5.0 ,Not reviewed 2021,Widford and Wareside,,5.00," 3,381 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
WILLS1ZZ,Willingale,1.0, 6.1 ,Reviewed 2018,Willingale,,6.28, 706 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
WILTS1ZZ,Wilton,0.0, no data ,"Based on solar year 2022, unverified",Wilton,,3.76, 143 ,, -   , SWOX (2020) , 139.9 
WINDS1ZZ,Windsor,38.7, 94.0 ,Reviewed 2019,Windsor,,96.83," 36,079 ",," 101,253 ", Slough Wycombe Aylesbury (2020) , 138.3 
WINGS1ZZ,Wingrave,0.4, 4.1 ,Reviewed 2022,Wingrave,4.40,4.40," 1,431 ",, -   ,Ruthamford (Anglian Water 2020), 128.8 
WINTS1ZZ,Winterbourne,1.3, no data ,"Based on solar year 2017, unverified",Winterbourne,,1.30, 76 ,, -   , Kennet Valley (2020) , 138.3 
WISLS1ZZ,Wisley,17.7, 77.3 ,Reviewed 2019,Wisley,,78.85," 23,393 ",," 1,710 ", Z6 Wey (Affinity 2020) , 141.9 
WITHS1ZZ,Withington,0.1, no data ,"Based on solar year 2018, unverified",Withington,,0.10, 221 ,, -   ,SWOX (2020), 139.9 
WITNS1ZZ,Witney,30.9, 158.0 ,Reviewed 2020,Witney,158.00,158.00," 46,752 "," 163,849 "," 163,849 ",SWOX (2020), 139.9 
WOKIS1ZZ,Woking,55.0, 177.0 ,Reviewed 2021,Woking,,177.00," 77,891 ",," 90,042 ", Z6 Wey (Affinity 2020) , 141.9 
WOLVS1ZZ,Wolverton Common,0.0, no data ,"Based on solar year 2017, unverified",Wolverton Common,,0.02, 14 ,, -   , Kingsclere (Southern Water 2020) , 163.3 
WOLVS2ZZ,Townsend (Wolverton),0.0, no data ,"Based on solar year 2017, unverified",Townsend (Wolverton),,, 16 ,, -   , Kingsclere (Southern Water 2020) , 163.3 
WOODS1ZZ,Woodeaton,0.1, no data ,"Based on solar year 2018, unverified",Woodeaton,,0.07, 67 ,, -   ,SWOX (2020), 139.9 
WOODS2ZZ,Woodstock,4.0, 24.2 ,Not reviewed 2022,Woodstock,20.00,20.00," 4,493 ","3,739"," 3,739 ",SWOX (2020), 139.9 
WOOLS1ZZ,Woolhampton,2.6, 14.4 ,Reviewed 2021,Woolhampton,,14.40," 1,353 ",, -   , Kennet Valley (2020) , 138.3 
WORMS1ZZ,Worminghall,0.3, 11.5 ,Reviewed 2022,Worminghall,11.50,10.70," 3,286 ",, -   ,Slough Wycombe Aylesbury (2020), 138.3 
YATTS1ZZ,Yattendon,0.0, no data ,"Based on solar year 2017, unverified",Yattendon,,0.02, 146 ,, -   , Kennet Valley (2020) , 138.3 
